equation_id,name,rrc_shape,status,distance,top_axes,missing_or_weak_axes,source_path,domain_type,bind_class,equation
connectome_protective_cognitive_load_reweighting_receipt:core_equations:bandwidth_adjusted_threshold,bandwidth_adjusted_threshold,CognitiveLoadField,CANDIDATE,0.193428,projection_declared;shape_closure;witness_declared;semantic_entropy,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,L_threshold_hist = L_threshold_eff * exp(-rho_B * B_overflow)
connectome_protective_cognitive_load_reweighting_receipt:core_equations:bandwidth_overflow,bandwidth_overflow,CognitiveLoadField,HOLD,0.230737,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,"B_overflow = max(0, transfer_bandwidth - assimilation_bandwidth) / assimilation_bandwidth"
connectome_protective_cognitive_load_reweighting_receipt:core_equations:effective_cognitive_load,effective_cognitive_load,CognitiveLoadField,HOLD,0.231976,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,L_cog_eff = L_cog_raw * G_over
connectome_protective_cognitive_load_reweighting_receipt:core_equations:emotional_gate,emotional_gate,CognitiveLoadField,HOLD,0.229561,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,B_gate_emotional = exp(-gamma_emotional * DeltaE_emotional_hist / kT_emotional_hist)
connectome_protective_cognitive_load_reweighting_receipt:core_equations:emotional_load,emotional_load,CognitiveLoadField,CANDIDATE,0.21865,projection_declared;shape_closure;witness_declared;semantic_entropy,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,"L_emotional = C_emotional,d * emotional_response_d(L_emotional_offload; theta_emotional,d) * lambda_phi^D_f * B_gate_emotional,d"
connectome_protective_cognitive_load_reweighting_receipt:core_equations:emotional_offload,emotional_offload,CognitiveLoadField,CANDIDATE,0.193428,projection_declared;shape_closure;witness_declared;semantic_entropy,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,"L_emotional_offload = max(0, L_cog_raw - L_threshold_hist) * eta_offload_hist"
connectome_protective_cognitive_load_reweighting_receipt:core_equations:historical_emotional_barrier,historical_emotional_barrier,CognitiveLoadField,HOLD,0.230737,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,DeltaE_emotional_hist = DeltaE_emotional_eff + chi_B * B_overflow
connectome_protective_cognitive_load_reweighting_receipt:core_equations:historical_emotional_temperature,historical_emotional_temperature,CognitiveLoadField,HOLD,0.230141,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,kT_emotional_hist = kT_emotional_eff / (1 + psi_B * B_overflow)
connectome_protective_cognitive_load_reweighting_receipt:core_equations:historical_offload_efficiency,historical_offload_efficiency,CognitiveLoadField,HOLD,0.231349,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,eta_offload_hist = eta_offload_eff * exp(-omega_B * B_overflow)
connectome_protective_cognitive_load_reweighting_receipt:core_equations:overflow_gate,overflow_gate,CognitiveLoadField,CANDIDATE,0.192135,projection_declared;shape_closure;witness_declared;semantic_entropy,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,G_over(d) = 1 if L_cog_raw <= L_threshold_hist; else exp(-gamma_d * (L_cog_raw - L_threshold_hist) / kT_emotional_hist)
connectome_protective_cognitive_load_reweighting_receipt:core_equations:raw_cognitive_load,raw_cognitive_load,CognitiveLoadField,CANDIDATE,0.21865,projection_declared;shape_closure;witness_declared;semantic_entropy,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,"L_cog_raw(d,x) = C_d * response_family_d(x; theta_d) * lambda_phi^D_f * B_gate(d,constraints)"
connectome_protective_cognitive_load_reweighting_receipt:core_equations:residual_stress,residual_stress,CognitiveLoadField,CANDIDATE,0.200253,projection_declared;shape_closure;decoder_declared;witness_declared,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,"L_residual_stress = max(0, L_cog_raw - L_threshold_hist) * (1 - eta_offload_hist)"
connectome_protective_cognitive_load_reweighting_receipt:core_equations:threshold,threshold,CognitiveLoadField,CANDIDATE,0.188871,projection_declared;shape_closure;witness_declared;scale_band_declared,,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,L_threshold = C_threshold * lambda_phi^D_f * B_gate_threshold
connectome_protective_cognitive_load_reweighting_receipt:core_equations:total_protective_load,total_protective_load,CognitiveLoadField,HOLD,0.238088,projection_declared;shape_closure;decoder_declared;witness_declared,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,L_total = L_cog_eff + L_emotional + L_residual_stress
connectome_protective_cognitive_load_reweighting_receipt:core_equations:trauma_adjusted_emotional_barrier,trauma_adjusted_emotional_barrier,CognitiveLoadField,HOLD,0.231349,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,DeltaE_emotional_eff = DeltaE_emotional + chi_T * T_trauma
connectome_protective_cognitive_load_reweighting_receipt:core_equations:trauma_adjusted_emotional_temperature,trauma_adjusted_emotional_temperature,CognitiveLoadField,HOLD,0.230737,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,kT_emotional_eff = kT_emotional / (1 + psi_T * T_trauma)
connectome_protective_cognitive_load_reweighting_receipt:core_equations:trauma_adjusted_offload_efficiency,trauma_adjusted_offload_efficiency,CognitiveLoadField,HOLD,0.231976,projection_declared;witness_declared;shape_closure;residual_risk,scale_band_declared,4-Infrastructure/shim/connectome_protective_cognitive_load_reweighting_receipt.json,,,eta_offload_eff = eta_offload * exp(-omega_T * T_trauma)
