#	Model_Name	Family	Equation	Variables	Purpose	Location	Implemented	Status	Cross_Refs	Domain_Type
1	Intrinsic_Load_LI	Cognitive Load	L_I(x) = -Σ_{b=0}^{255} p(b|x) log₂ p(b|x)	p(b|x) = empirical byte distribution	Shannon entropy of byte distribution; irreducible complexity	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	2,71,40	LAYER_A_COMPRESSION
2	Extraneous_Load_LE	Cognitive Load	L_E(x) = BPB(x,w_prior) - BPB*(x) = (1/n)Σ_i log₂(P_w*(x_i)/P_wprior(x_i))	BPB=bits-per-byte, w_prior=prior weights, w*=optimal	Cost of architectural mismatch; penalty for suboptimal routing	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	1,3,6,8	LAYER_A_COMPRESSION
3	Germane_Load_LG	Cognitive Load	L_G(x,t) = Σ_{s=1}^{S} γ^s · ΔL_E(x_s,t+1) ≈ τ·L_E·log(S+1)/log(S_max+1)	γ=temporal discount, τ=trust, S=engram support	Productive learning effort reducing future extraneous load	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	2,6,73	LAYER_B_ROUTING
4	Routing_Load_LR	Cognitive Load	L_R(x) = Σ_j c_j·1[f_j computed] + Σ_{l=1}^{D(x)} log₂|M_l|	d=9 feature dims, c_j=feature cost, D=tree depth, M_l=candidates	Computational cost of classification and method selection	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	6,16-23	LAYER_B_ROUTING
5	Memory_Load_LM	Cognitive Load	L_M(x) = log₂|E| + α·1[hit] + β + λ·|E|/|E_max|	|E|=engram store size, α/β=retrieval/update costs, λ=eviction pressure	Burden of storing, retrieving, and updating routing memory	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	6,10,30	LAYER_B_ROUTING
6	Total_Cognitive_Load	Cognitive Load	L_total = λI·l̂I + λE·l̂E - λG·l̂G + λR·l̂R + λM·l̂M (Σλ=1, λG≤λE)	5 normalized load components with weighting coefficients	Aggregate processing burden; combines all load classes	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	1,2,3,4,5,7,8,9,74	LAYER_A_COMPRESSION
7	Cognitive_Efficiency	Cognitive Load	η(x) = l̂I(x) / (l̂I + l̂E + l̂R + l̂M + ε)	Ratio of intrinsic to total normalized load	Routing efficiency (1=perfect, 0=maximum waste)	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	6	LAYER_A_COMPRESSION
8	Regret_Adjusted_Load	Cognitive Load	L_ρ(x) = L_total(x) · (1 + ρ(x)/ρ_max)	ρ=BPB regret, ρ_max=max regret	Load penalized by historical performance on similar inputs	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	2,6	LAYER_A_COMPRESSION
9	Basin_Conditional_Load	Cognitive Load	L(x|B) = L_I(x) + L_E(x|B) + L_R^B(x)	w_B=basin-optimal weights	Load conditioned on attractor basin membership	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	1,2,4,12	LAYER_A_COMPRESSION
10	MoE_Predictor_Distribution	Cognitive Load	P_w(x_i|x_{<i}) = Σ_{j=1}^{k} w_j · P_{m_j}(x_i|x_{<i})	k=predictors, w∈Δ^{k-1} simplex	Combines multiple compression predictors into mixed distribution	core/intrinsic/specs/COGNITIVE_LOAD_FUNCTIONS_SPEC.md	Python	✅	1,2	LAYER_A_COMPRESSION
